id,efecto vacuna covid,lat,lon
39,"['soportar', 'dolor brazo', 'cansancio', 'dolor cabeza']",19.232228,-99.324375
40,"['reaccion', 'vacuna', 'astrazeneca', 'esperar', 'dolor cabeza', 'pasar']",19.412031,-99.413769
41,"['participe', 'fase', 'cansino', 'mes', 'tocar', 'vacuna', 'placebo', 'fiebre', 'dolor', 'articulacion', 'nausea', 'ceder', 'paracetamol', 'morir', 'recomendable']",19.3863707,-99.259495
42,"['vacuna', 'astral', 'freaks', 'confirmar', 'fiebre', 'dolor', 'chingon']",19.375769,-99.137171
43,"['sputnik', 'monte', 'dolor cuerpo', 'incomodo', 'permitir', 'dormir', 'minuto', 'leve', 'dolor cabeza']",19.444937,-99.180678
44,"['notar', 'efecto', 'secundario', 'vacuna', 'impactar', 'menstruacion', 'refuerzo', 'tocar', 'sputnik', 'sentir', 'morir', 'dolor', 'causar', 'colico']",19.0763934,-99.7825792
45,"['dosis', 'madrina', 'coxis', 'dolor', 'osteoarticular', 'jijolavrga', 'astrazeneca']",19.41099045,-99.18481663
46,"['sputnik', 'vanessa', 'madrugada', 'fiebre', 'escalofrio', 'dolor brazo', 'agradecer', 'dios', 'manito', 'inventado', 'paracetamol']",19.3998346,-99.1843501
47,"['doc', 'informar', 'vacuna', 'astrazeneca', 'sintoma', 'dolor', 'articulacion', 'cuerpo', 'humano', 'duran', 'semana']",19.087511,-99.315748
48,"['dosis', 'astrazeneca', 'reaccion', 'practicamente', 'nulo', 'excepcion', 'ligero', 'dolor cabeza', 'brazo', 'dosis', 'semana', 'reaccion']",19.357102,-99.1919955
49,"['pego', 'dosis', 'fiebre', 'dolor cabeza', 'fuerte', 'efecto', 'tempura']",19.3998346,-99.1843501
50,"['persona', 'confirmar', 'reaccion', 'vacuna', 'hambre', 'voraz', 'esperar', 'dolor', 'insoportable', 'articulacion']",19.357102,-99.1919955
51,"['amigo', 'postvacuna', 'covid', 'unico', 'efecto', 'adverso', 'dolor brazo', 'cansancio']",19.3998346,-99.1843501
52,"['dolor brazo', 'cansancio', 'leve']",19.3668621,-99.067766
53,"['mama', 'vacuna', 'fiebre', 'dolor cabeza', 'cuerpo', 'vacuna', 'papa', 'miedo', 'sintoma', 'fuerte', 'don', 'andar']",19.2846922,-99.140238
54,"['duro', 'vacuna', 'dolor brazo', 'fiebre', 'cuerpo', 'cortar']",19.0763934,-99.7825792
55,"['traumada', 'dolor muscular', 'pensar', 'covid']",19.357102,-99.1919955
56,"['generalmente', 'suelo', 'enfermar', 'sospechar', 'bicho', 'asintomatico', 'vacuna', 'puse', 'malo', 'dormir', 'escalofrio', 'dolor cuerpo', 'derrotado', 'amigo']",19.498594,-99.2481811
57,"['pfizer', 'reaccion', 'leve', 'dolor brazo', 'saludo']",19.498594,-99.2481811
58,"['moderna', 'reaccion', 'venir', 'cama', 'dolor brazo', 'inyectan', 'minuto', 'duro']",19.3998346,-99.1843501
59,"['saludo', 'nino', 'extendido', 'noche', 'dolor', 'postvacuna', 'moderna', 'booster', 'yoga', 'yogainspiration']",19.0763934,-99.7825792
60,"['suponer', 'reportar', 'experiencia', 'vacuna', 'moderna', 'aplicacion', 'dolor brazo', 'perduro', 'alivian', 'paracetamol', 'pasar', 'pd', 'robot']",19.484399,-99.118665
61,"['precisamente', 'vacuna', 'unico', 'sentir', 'dolor brazo', 'izquierdo']",19.42187144,-99.1569551
62,"['ay', 'despertar', 'dolor brazo', 'vacuna', 'normal', 'duela']",19.0763934,-99.7825792
63,"['hueva', 'cronica', 'acumulado', 'fuckin', 'dolor brazo', 'vacuna', 'payaso']",19.087511,-99.315748
64,"['vacuna', 'empiezo', 'escalofrio', 'dolor muscular', 'claudia', 'castana', 'fiebre', 'venir']",19.232313,-99.364536
65,"['miercoles', 'moderna', 'tambo', 'pasar', 'fatal', 'seguir', 'dolor brazo']",19.2156239,-99.6470277
66,"['manche', 'hermana', 'vacuna', 'miercoles', 'mediodia', 'mediodia', 'dolian', 'pierna', 'noche', 'hermana', 'fiebre', 'fuerte', 'dolor cuerpo', 'cabeza', 'seguir', 'fiebre', 'asustar']",19.498594,-99.2481811
67,"['tocar', 'sputnik', 'incomodidad', 'dolor brazo', 'duro', 'esperar', 'leve']",19.2970107,-99.2058092
68,"['dolor brazo', 'izquierdo', 'consecuencia', 'vacuna', 'moderna', 'bloquear', 'dolor', 'padecer', 'pierna', 'derecha', 'lesion', 'ejercicio', 'interesante']",19.0763934,-99.7825792
