,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
13,6.0,0.2955,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['mano', 'janssen', 'curiosamente', 'ma', 'frente', 'fox', 'ayudita']",19.444937,-99.180678
14,6.0,0.3556,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['maldito', 'vacuna', 'ando', 'rojo', 'cara']",19.285882,-98.954037
31,6.0,0.4598,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['noche', 'salchiamigo', 'marcha', 'candi', 'juntar', 'cirugia', 'juntamo', 'peso', 'euro', 'moderna', 'colombiano']",19.087511,-99.315748
43,6.0,0.55,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['manden', 'vibras', 'bonita', 'vacuna', 'lema', 'bonito']",19.2218831,-99.5720087
50,6.0,0.6698,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['fila', 'persona', 'sentadas', 'brazo', 'descubrir', 'esperar', 'vacuna', 'paisaje', 'lindo', 'vacuna', 'coyoaca']",19.309899472452276,-99.17719229086067
69,6.0,0.5464,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['felicidad', 'proceso', 'vacuna', 'maravilla', 'minuto', 'entrar', 'salir', 'mundo', 'amable']",19.152878,-99.1600234
74,6.0,0.4393,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['llegar', 'cafe', 'doble', 'cafe', 'adulterado', 'vacuna']",19.375769,-99.137171
75,6.0,0.55,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['osea', 'enojo', 'gritar', 'culero', 'vecino', 'escucharon']",19.456367,-99.221136
80,6.0,0.5169,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['vengo', 'tratar', 'concierto', 'astrazeneca']",19.40414062562128,-99.09989177728548
107,6.0,0.6931,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['amigo', 'postvacuna', 'covid', 'unico', 'efecto', 'adverso', 'dolor brazo', 'cansancio']",19.3998346,-99.1843501
109,6.0,0.55,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['hacios', 'regresar', 'europo', 'jugadora', 'superar', 'hugo', 'sanchez', 'espana']",19.357102,-99.1919955
111,6.0,0.5016,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['festejando', 'bono', 'falta', 'registro', 'vacuna', 'vacuna', 'vacuna', 'vacuna', 'porno', 'sed', 'malo']",19.2846922,-99.140238
133,6.0,0.55,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['vacuna', 'regresar', 'dirigir', 'podcasts', 'taquito', 'pastor']",19.357102,-99.1919955
141,6.0,0.7,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['deber', 'vacuna', 'enfermaron', 'pendejo']",19.3998346,-99.1843501
143,6.0,0.4836,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['puse', 'vacuna', 'doler', 'cabeza', 'camita', 'unico', 'recurso', 'lloviendo', 'frio', 'saludo', 'amigo']",19.4043522,-99.128294
162,6.0,0.4624,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['pedir', 'compren', 'libro', 'digital', 'pedir', 'vacuna', 'cuiden', 'cubrebocas', 'gel', 'antibacterial', 'sano', 'distancia']",19.2970107,-99.2058092
163,6.0,0.6999,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['dolor muscular', 'hueso', 'moderado', 'escalofrio', 'perdida', 'apetito']",19.3059713,-99.4041647
180,6.0,0.3421,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['vacuna', 'dosis', 'cuento', 'pegar', 'astrazeneca', 'literal', 'tardar', 'minuto', 'salir', 'vac<UNK>nen', 'vacuna']",19.357102,-99.1919955
226,6.0,0.7857,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['alcanzo', 'dimensional', 'cansancio', 'fisico', 'emocional', 'regresar', 'clase', 'presencial']",19.0763934,-99.7825792
236,6.0,0.82,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['janssen', 'jugar', 'figura', 'pase', 'anotar', 'amonestan', 'misterio', 'jugar', 'paisbajeno', 'entender']",19.3998346,-99.1843501
243,6.0,0.5499,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['hablar', 'put']",19.375769,-99.137171
267,6.0,0.6681,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['salir', 'concentrado', 'advierta', 'defensa', 'gritar', 'cansancio', 'atento', 'partido', 'esperar', 'servir', 'experiencia', 'animo', 'duro', 'esperar', 'seleccion']",19.484399,-99.118665
269,6.0,0.8199,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['vacuna', 'prueba', 'leve', 'esterilizacion', 'ey', 'pescado', 'mover', 'pilo']",19.4043522,-99.128294
300,6.0,0.775,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['dolor brazo', 'cansancio', 'leve']",19.3668621,-99.067766
320,6.0,0.4975,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['padre', 'vacuna', 'importar', 'seguir', 'cola', 'vacuna', 'esperar', 'joven', 'viejo', 'ejercicio', 'mantener', 'sano', 'distancia', 'home', 'office', 'realmente', 'preocupo', 'vacuna', 'porno', 'caliente']",19.375769,-99.137171
326,6.0,0.5237,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['vacuna', 'analgesico', 'ejercicio', 'evitar', 'alcohol', 'sol', 'gracias']",19.232313,-99.364536
364,6.0,0.8714,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['schnell', 'destrozado', 'diseno', 'movimiento', 'aire', 'unico', 'contar', 'ofensiva', 'creatividad', 'miedo', 'aparte', 'preston', 'jajaja', 'feliz', 'enojado']",19.087511,-99.315748
372,6.0,0.4409,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['adulto', 'tocar', 'vacuna', 'aire', 'clan', 'vacuna', 'aire']",19.349277,-99.1776562
381,6.0,0.5334,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['mama', 'vacuna', 'fiebre', 'dolor cabeza', 'cuerpo', 'vacuna', 'papa', 'miedo', 'sintoma', 'fuerte', 'don', 'andar']",19.2846922,-99.140238
382,6.0,0.3761,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['tons', 'meter', 'gol', 'janssen']",19.3863707,-99.259495
404,6.0,0.7348,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['aus', 'open', 'increible', 'permitir', 'jugar', 'vacuna', 'negocio', 'importante', 'ojala', 'jugador', 'nieguen', 'jugar', 'alguien', 'vacuna']",19.232228,-99.324375
407,6.0,0.8475,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['gracias', 'presidente', 'andres', 'manuel', 'lopez', 'obrador', 'tocar', 'vacuna', 'covid', 'organizacion', 'extraordinario', 'realmente', 'fantastico', 'gracias', 'doctora', 'claudia', 'sheibaum', 'genial', 'doctor', 'hugo', 'lopez', 'gatell', 'ojete']",19.357102,-99.1919955
418,6.0,0.4117,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['feliz', 'leyendo', 'anti', 'vacuna', 'anti', 'cubrebocas', 'enojado', 'jajajaja', 'lamedor', 'terapia', 'reir', 'carcajada', 'limpio']",19.232228,-99.324375
420,6.0,0.3788,"moderna, post, cansancio, fila, bonito, minuto, dosis, ojala, unico, fiebre","['amigo', 'deberia', 'fila', 'vacuna']",19.3998346,-99.1843501
