,tweet,lon,lat
0,"['amigo', 'amiga', 'listo', 'registro', 'vacuna', 'covid', 'ano']",-99.0693801,19.198192
1,"['sueno', 'cansancio', 'estres', 'agotamiento', 'hartazgo', 'gana', 'seguir', 'vivir']",-99.1796393,19.3632521
2,"['justo', 'volver', 'vacuna', 'tocar', 'cansino', 'sentir', 'protegida', 'volver', 'covid']",-99.259495,19.3863707
3,"['paciente', 'vacuna']",-99.0693801,19.198192
4,"['doler', 'vacuna', 'sputnik', 'efectividad', 'anthony', 'faci', 'comentar', 'fauna', 'vivir', 'epoca', 'guerra', 'frio']",-99.140238,19.2846922
5,"['eclectico', 'corto', 'vivir', 'latino', 'michi', 'bodega', 'mega', 'vacuna', 'covid', 'eclectico', 'corto']",-98.989059,19.372499
6,"['tocar', 'vacuna', 'sabado', 'palacio', 'deporte', 'amigo']",-99.128294,19.4043522
7,"['ambiente', 'vivir', 'palacio', 'deporte', 'sputnik', 'conejito', 'volo', 'cabeza', 'septiembre']",-99.09989177728548,19.40414062562128
8,"['covid', 'fiebre', 'dolor muscular', 'tos', 'nulo', 'llemo', 'oliendo', 'gusto', 'intacto', 'energia', 'animo', 'fatiga', 'seguir', 'herbolaria', 'antibiotico']",-99.1843501,19.3998346
9,"['sentir', 'culpable', 'reunion', 'premiere', 'peli', 'trabaje', 'vacuna', 'cansancio', 'lluvia', 'cuerpo', 'socializar']",-99.1843501,19.3998346
10,"['residente', 'asqueado', 'cansancio', 'extremo', 'gana', 'levantar', 'manana', 'habilidad', 'emocional', 'sentimiento', 'insatisfaccion', 'caso', 'burn', 'out']",-99.259495,19.3863707
11,"['esperar', 'vacuna', 'hambre', 'vacuna']",-99.09140110015868,19.407304382632155
12,"['dosis', 'rayo', 'gamma', 'sentir', 'david', 'banner', 'hombre', 'increible']",-99.1767677,19.4104602
13,"['comentario', 'tweet', 'falso', 'ojo', 'senalar', 'realidad', 'infraccion', 'termino', 'condicion', 'deberia', 'preocupar', 'sputnik', 'defenderla']",-99.259495,19.3863707
14,"['cansancio', 'ejercicio', 'ravioles', 'cenar', 'llenisima', 'sentir', 'culpable', 'vomitare']",-99.259495,19.3863707
15,"['macha', 'reaccion', 'vacuna', 'vertigo', 'mareos', 'constante', 'doler', 'brazo', 'feliz', 'vacuna', 'yes']",-99.180678,19.444937
16,"['aguantar', 'gana', 'vacuna', 'recrear', 'coreografia', 'video', 'viernes', 'bailo']",-98.994694,19.332316
17,"['feliz', 'vacuna', 'cantar', 'rola', 'pusieran', 'shakiro', 'astrazeneca', 'lose', 'postracion', 'shakiro']",-99.1843501,19.3998346
18,"['instagram', 'resolver', 'duda', 'vacuna', 'covid', 'paciente', 'vivir', 'vih', 'ig', 'drjezerlezama']",-99.1919955,19.357102
19,"['feliz', 'novia', 'sad', 'vacuna']",-99.2058092,19.2970107
20,"['chingo', 'vacuna', 'mexico', 'lindo', 'subir', 'fe', 'pensar', 'manana']",-99.259495,19.3863707
21,"['sone', 'vacuna']",-99.1919955,19.357102
22,"['tocar', 'vacuna', 'pedir', 'vida', 'fuerte', 'karah', 'jea']",-99.1843501,19.3998346
23,"['camino', 'reunion', 'muerto', 'cansancio', 'feliz', 'emocion', 'inesperado']",-99.1843501,19.3998346
