,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
5,5.0,0.5409,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['gracias', 'cesar', 'dosis', 'taco', 'ojo']",19.2970107,-99.2058092
20,5.0,0.5958,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['dosis', 'semana', 'calculo', 'deber', 'vacuna', 'semana', 'onda']",19.232228,-99.324375
53,5.0,0.5963,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['cargo', 'sentir', 'recordar', 'deber', 'volver', 'sueno', 'anhelo', 'sentir', 'vida', 'acabar', 'preguntar', 'tome', 'dosis']",19.3863707,-99.259495
59,5.0,0.85,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['rufian', 'ruiz', 'ruiz', 'rulo', 'rocco', 'amp', 'scuccimarra', 'sabado', 'amp', 'brecha', 'sabine', 'Sahagun', 'saintexupery', 'sankaracarya', 'santo', 'ana', 'saramago', 'saramago', 'schafer', 'cheree', 'garcia', 'sepsis', 'seminario', 'historia', 'mentalidad', 'seminario', 'historia', 'moderna']",19.357102,-99.1919955
60,5.0,0.82,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['falta', 'papa', 'mama', 'dosis']",19.357102,-99.1919955
76,5.0,0.5148,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['vacuna', 'amigo', 'conocido', 'familia', 'morir', 'esperar', 'vacuna']",19.3998346,-99.1843501
82,5.0,0.4773,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['cansado', 'dosis', 'vacuna', 'dolio', 'garganta']",19.285882,-98.954037
84,5.0,0.85,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['creer', 'papa', 'volviendo', 'casa', 'dosis', 'vacuna', 'llegar', 'fumar']",19.285882,-98.954037
166,5.0,0.558,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['traer', 'vacuna', 'bendiciones', 'biblioteca', 'vasconcelos', 'llegar', 'mediodia', 'formado', 'esperar', 'hijo', 'fila', 'llegar', 'torre', 'bandera', 'pesimo', 'organizacion']",19.3998346,-99.1843501
189,5.0,0.4689,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['amigo', 'vacuna', 'abuela', 'entender', 'felicidad']",19.232228,-99.324375
192,5.0,0.5243,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['asistir', 'deber', 'presentar', 'comprobante', 'vacuna', 'defecto', 'comprobante', 'negativo', 'covid', 'abusados', 'confiar', 'mero', 'pasar', 'repito', 'ganar', 'mexico']",19.206011,-99.4974926
198,5.0,0.4833,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['estilista', 'pendeja', 'atora', 'patrulla', 'acabar', 'beber', 'queque', 'vacuna', 'vivir']",19.357102,-99.1919955
203,5.0,0.5301,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['entender', 'escribe', 'vivir', 'testimonio', 'vacuna', 'razon', 'esquema', 'completo', 'pfizer', 'dios', 'gracias', 'salir', 'omicron', 'gripa', 'pasar', 'casa']",19.51799,-99.330259
205,5.0,0.439,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['doctora', 'psiquiatra', 'subir', 'dosis', 'again', 'preparar', 'twits', 'sad', 'sorry', 'cambio', 'dosis', 'deseenme', 'suerte', 'km']",19.3998346,-99.1843501
206,5.0,0.6785,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['permiso', 'familiar', 'vivir', 'prestar', 'comprobante', 'domicilio', 'sede', 'alquilaban', 'negocio', 'zona', 'vacuna', 'vendio', 'cafe', 'internet', 'nombre']",19.444937,-99.180678
215,5.0,0.5504,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['sentir', 'falta', 'pre', 'entreno', 'pinche', 'cansancio', 'clase', 'manana']",19.2156239,-99.6470277
222,5.0,0.82,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['lleve', 'flor', 'mama', 'vacuna', 'dosis', 'gracias', 'vida']",19.2970107,-99.2058092
235,5.0,0.7,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['cancer', 'vejiga', 'recurrente', 'tratamiento', 'pembrolizumab', 'dosis', 'diciembre', 'hospitalizado', 'deshidratacion', 'izquierda', 'tacto', 'derecha', 'llegar', 'saturando', 'febril', 'inconsciente']",19.357102,-99.1919955
239,5.0,0.3273,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['salir', 'hijo', 'comer', 'animo', 'mesero', 'comensal', 'sol', 'mesa', 'banqueta', 'sensacion', 'verbena', 'llegar', 'primavera', 'vacuna', 'empresario', 'cerrar', 'levantaran', 'perder', 'recuperara']",19.28034994910654,-99.16058998797756
253,5.0,0.4556,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['sentir', 'presion', 'social', 'vacuna']",19.049016,-99.364536
255,5.0,0.5761,"dosis, esperar, creer, vida, ano, falta, hija, mama, acompanar, llegar","['raro', 'centro', 'vacuna', 'acabar', 'tocar', 'prender', 'foco', 'rojo', 'madre', 'piensenlo', 'contar', 'historia', 'anti']",19.3998346,-99.1843501
