,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
34,4.0,0.4841,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['amigo', 'amiga', 'listo', 'registro', 'vacuna', 'covid', 'ano']",19.198192,-99.0693801
45,4.0,0.3847,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['sueno', 'cansancio', 'estres', 'agotamiento', 'hartazgo', 'gana', 'seguir', 'vivir']",19.3632521,-99.1796393
49,4.0,0.7293,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['malo', 'despertar', 'logro', 'seguir', 'lidiando', 'condenar', 'cansancio', 'extremo']",19.456367,-99.221136
52,4.0,0.7749,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['aguantar', 'alcohol', 'dosis']",19.0763934,-99.7825792
64,4.0,0.6344,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['hola', 'marioneta', 'ejercicio', 'vacuna', 'doler', 'brazo', 'calma', 'dolor', 'ten', 'lindo', 'semana']",19.232228,-99.324375
65,4.0,0.8875,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['justo', 'volver', 'vacuna', 'tocar', 'cansino', 'sentir', 'protegida', 'volver', 'covid']",19.3863707,-99.259495
67,4.0,0.6185,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['doler', 'miedo', 'dormir', 'vacuna', 'covid', 'doler', 'mover', 'sueno']",19.087511,-99.315748
89,4.0,0.5064,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['programa', 'vacuna', 'implicaba', 'registrar', 'sitio', 'web', 'ano', 'porquerio', 'echar', 'andar', 'vacuna', 'lista', 'ocurrido', 'plan', 'semana']",19.087511,-99.315748
105,4.0,0.55,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['paciente', 'vacuna']",19.198192,-99.0693801
112,4.0,0.85,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['doler', 'vacuna', 'sputnik', 'efectividad', 'anthony', 'faci', 'comentar', 'fauna', 'vivir', 'epoca', 'guerra', 'frio']",19.2846922,-99.140238
113,4.0,0.7,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['asumo', 'edad', 'cansancio', 'inevitable']",19.2156239,-99.6470277
114,4.0,0.7,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['eclectico', 'corto', 'vivir', 'latino', 'michi', 'bodega', 'mega', 'vacuna', 'covid', 'eclectico', 'corto']",19.372499,-98.989059
120,4.0,0.2745,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['hola', 'forma', 'fila', 'entrar', 'estacionamiento', 'costco', 'vacuna', 'persona', 'carro', 'pasar', 'fila', 'llenar', 'formato', 'cura', 'recomiendo', 'llegar', 'suerte']",19.498594,-99.2481811
125,4.0,0.2661,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['alguien', 'infiltra', 'meter', 'vacuna', 'asesina', 'letal', 'hisopo', 'meterte', 'nariz', 'boca', 'producir', 'problema', 'estomago', 'doler', 'raspan', 'garganta', 'terminando', 'infectando']",19.412031,-99.413769
132,4.0,0.6588,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['tocar', 'vacuna', 'sabado', 'palacio', 'deporte', 'amigo']",19.4043522,-99.128294
134,4.0,0.6424,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['ambiente', 'vivir', 'palacio', 'deporte', 'sputnik', 'conejito', 'volo', 'cabeza', 'septiembre']",19.40414062562128,-99.09989177728548
139,4.0,0.3294,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['covid', 'fiebre', 'dolor muscular', 'tos', 'nulo', 'llemo', 'oliendo', 'gusto', 'intacto', 'energia', 'animo', 'fatiga', 'seguir', 'herbolaria', 'antibiotico']",19.3998346,-99.1843501
149,4.0,0.3471,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['hola', 'contar', 'aplicaron', 'dosis', 'vacuna', 'unico', 'malestar', 'dolor cabeza', 'viernes', 'directo', 'aviso', 'agita', 'seguir', 'cuidando']",19.087511,-99.315748
155,4.0,0.82,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['actualizacion', 'vacuna', 'astrazeneca', 'madrugada', 'escalofrio', 'dolor cabeza', 'febricula', 'amaneci', 'chida', 'dolor brazo']",19.087511,-99.315748
160,4.0,0.775,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['sentir', 'culpable', 'reunion', 'premiere', 'peli', 'trabaje', 'vacuna', 'cansancio', 'lluvia', 'cuerpo', 'socializar']",19.3998346,-99.1843501
174,4.0,0.4428,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['residente', 'asqueado', 'cansancio', 'extremo', 'gana', 'levantar', 'manana', 'habilidad', 'emocional', 'sentimiento', 'insatisfaccion', 'caso', 'burn', 'out']",19.3863707,-99.259495
178,4.0,0.6881,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['mundo', 'producir', 'alimento', 'millon', 'persona', 'habemos', 'millon', 'produccion', 'sorprender', 'millon', 'morir', 'hambre', 'acceso', 'alimento', 'pasar', 'vacuna', 'covid', 'feliz', 'viernes']",19.412031,-99.413769
187,4.0,0.6999,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['esperar', 'vacuna', 'hambre', 'vacuna']",19.407304382632155,-99.09140110015868
204,4.0,0.5078,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['dosis', 'rayo', 'gamma', 'sentir', 'david', 'banner', 'hombre', 'increible']",19.4104602,-99.1767677
207,4.0,0.317,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['comentario', 'tweet', 'falso', 'ojo', 'senalar', 'realidad', 'infraccion', 'termino', 'condicion', 'deberia', 'preocupar', 'sputnik', 'defenderla']",19.3863707,-99.259495
209,4.0,0.775,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['cansancio', 'ejercicio', 'ravioles', 'cenar', 'llenisima', 'sentir', 'culpable', 'vomitare']",19.3863707,-99.259495
212,4.0,0.6955,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['macha', 'reaccion', 'vacuna', 'vertigo', 'mareos', 'constante', 'doler', 'brazo', 'feliz', 'vacuna', 'yes']",19.444937,-99.180678
221,4.0,0.4779,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['aguantar', 'gana', 'vacuna', 'recrear', 'coreografia', 'video', 'viernes', 'bailo']",19.332316,-98.994694
231,4.0,0.5762,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['sincero', 'dosis', 'pier', 'efecto', 'sentir', 'dosis', 'astrazeneca', 'sentir', 'dolor cabeza', 'temperatura', 'dolor', 'ojo', 'borroso', 'dormir', 'vomitar', 'perdon', 'critique', 'exageraba']",19.115033,-99.7351564
233,4.0,0.4161,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['pasar', 'vacuna', 'cuarto', 'dosis', 'regreso', 'agarra', 'aguacero', 'rato', 'bonito', 'noche', 'feliz', 'descanso']",19.232228,-99.324375
237,4.0,0.775,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['feliz', 'vacuna', 'cantar', 'rola', 'pusieran', 'shakiro', 'astrazeneca', 'lose', 'postracion', 'shakiro']",19.3998346,-99.1843501
238,4.0,0.6069,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['instagram', 'resolver', 'duda', 'vacuna', 'covid', 'paciente', 'vivir', 'vih', 'ig', 'drjezerlezama']",19.357102,-99.1919955
264,4.0,0.5499,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['feliz', 'novia', 'sad', 'vacuna']",19.2970107,-99.2058092
278,4.0,0.7,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['garganta', 'cansancio']",19.3059713,-99.4041647
280,4.0,0.6006,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['llegar', 'edad', 'cansancio', 'morir']",19.456367,-99.221136
284,4.0,0.58,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['chingo', 'vacuna', 'mexico', 'lindo', 'subir', 'fe', 'pensar', 'manana']",19.3863707,-99.259495
298,4.0,0.55,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['sone', 'vacuna']",19.357102,-99.1919955
303,4.0,0.4647,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['tocar', 'vacuna', 'pedir', 'vida', 'fuerte', 'karah', 'jea']",19.3998346,-99.1843501
307,4.0,0.9,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['tocar', 'sputnik', 'ii', 'covid', 'negativo', 'astrazeneca', 'amar', 'vacuna', 'ronquera', 'cantar', 'cancion', 'barry', 'white']",19.232228,-99.324375
316,4.0,0.6703,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['aja', 'escalofrio', 'cansancio', 'temperatura', 'dolor', 'recorri', 'nivel', 'infierno', 'dante']",19.087511,-99.315748
332,4.0,0.6382,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['camino', 'reunion', 'muerto', 'cansancio', 'feliz', 'emocion', 'inesperado']",19.3998346,-99.1843501
339,4.0,0.775,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['menstruacion', 'vacuna', 'covid', 'morir', 'colico', 'mamon', 'sugestion', 'volver', 'canon', 'literal', 'colico', 'muerte']",19.3998346,-99.1843501
342,4.0,0.3801,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['conte', 'alto', 'covid', 'secuela', 'cansancio', 'sueno', 'hambre', 'poquito', 'tos', 'canso', 'rapido', 'dolor muscular', 'afortunadamente', 'dano', 'pulmonar']",19.444937,-99.180678
357,4.0,0.3966,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['lady', 'prole', 'asigna', 'vacuna', 'ojo', 'resentimiento', 'social']",19.3998346,-99.1843501
367,4.0,0.5503,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['amiguitos', 'vivir', 'pareja', 'atascados', 'vacuna', 'quedese', 'cuidar', 'astrazeneca']",19.3863707,-99.259495
370,4.0,0.8058,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['covid', 'enero', 'ano', 'sintoma', 'leve', 'dolor muscular', 'febricula', 'dolor cabeza', 'tos', 'semana', 'cansado', 'vida', 'dolor', 'pie', 'sueno', 'dolor cabeza']",19.152878,-99.1600234
380,4.0,0.4306,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['vacuna', 'alcaldia', 'septiembre', 'eh', 'festivo', 'vacuna', 'chingaderas', 'fiesta', 'siquiera', 'fiesta']",19.357102,-99.1919955
387,4.0,0.4294,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['ens', 'feria', 'vacuna', 'contagie', 'diabetes', 'hipertension', 'peso', 'hospital', 'gracias', 'dios', 'dolor cabeza', 'atribuir', 'vacuna']",19.3668621,-99.067766
413,4.0,0.8714,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['inicie', 'ano', 'chingo', 'cansancio', 'ahorita', 'sentir', 'pila', 'ayudar', 'semanito', 'cabo']",19.3863707,-99.259495
429,4.0,0.339,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['agilizar', 'pedo', 'pagina', 'registro', 'vacuna']",19.185555,-99.5851
438,4.0,0.41,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['porfavor', 'senor', 'alcalde', 'canalice', 'repare', 'bocina', 'alerta', 'sismico', 'avapatlaco', 'em', 'calle', 'oyeme', 'uinfonavit', 'it', 'subir', 'puente', 'funcionar', 'simulacro', 'reporto', 'cansancio', 'arreglar']",19.2846922,-99.140238
441,4.0,0.7,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['adivinen', 'cuerpo', 'cortar', 'vacuna']",19.2156239,-99.6470277
461,4.0,0.5975,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['dosis', 'efecto', 'secundario', 'sentir', 'feliz', 'vacuna', 'mexicovaccine', 'pfizervaccine', 'municipio', 'lema']",19.2218831,-99.5720087
464,4.0,0.55,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['vacuna', 'panda', 'prender', 'fiesta']",19.357102,-99.1919955
482,4.0,0.4397,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['casualmente', 'cerrar', 'trato', 'ruso', 'vacuna', 'hara', 'pensar', 'reclamar', 'enfermo']",19.444937,-99.180678
489,4.0,0.655,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['paciente', 'confianza', 'crecer', 'lleno', 'trabajoalegria', 'cansancio', 'etcetera', 'aprender', 'adios', 'gracias']",19.498594,-99.2481811
501,4.0,0.5565,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['enfermo', 'tos', 'seco', 'doler', 'pecho', 'compartir', 'ona', 'jefe', 'positivo', 'covid', 'vacuna', 'dosis', 'alcanzar', 'inmunidad']",19.484399,-99.118665
509,4.0,0.55,"cansancio, covid, dosis, feliz, viernes, tocar, sentir, registro, domingo, dolor cabeza","['papis', 'vacuna', 'rato', 'quejo', 'acomodo']",19.456367,-99.221136
