,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
4,8.0,0.5296,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['reaccion', 'vacuna', 'astrazeneca', 'sentir', 'reaccion']",19.357102,-99.1919955
7,8.0,0.7749,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['cansancio', 'dormir', 'hora']",19.444937,-99.180678
23,8.0,0.7749,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['sufrimiento', 'pequeno', 'dosis', 'fuerte', 'inmortal']",19.2970107,-99.2058092
29,8.0,0.5499,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['stephen', 'smith', 'would', 'say', 'is', 'bad', 'ma']",19.3863707,-99.259495
35,8.0,0.7358,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['cita', 'endocrinologo', 'clinica', 'condeso', 'feliz', 'cuerpo', 'aceptar', 'super', 'mes', 'try', 'aumentar', 'dosis', 'contenta', 'habemus', 'inyeccion', 'magia', 'tran', 'is', 'beautiful']",19.3863707,-99.259495
36,8.0,0.5219,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['hola', 'amiga', 'mujer', 'hermoso', 'cuerpo', 'diosa', 'mujer', 'isabel', 'mujer', 'hermoso', 'voz', 'ganar', 'cruz', 'azul', 'vacuna', 'pumas', 'perder', 'ck', 'adios', 'hermoso']",19.2846922,-99.140238
55,8.0,0.6937,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['paso', 'aparecio', 'virus', 'vacuna', 'habian', 'muerto', 'quedar', 'sintoma', 'paso', 'afortunadamente']",19.357102,-99.1919955
62,8.0,0.4239,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['mandar', 'vacuna', 'influenza', 'manana', 'super', 'random', 'vacuna']",19.357102,-99.1919955
91,8.0,0.5531,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['maestro', 'personalmente', 'emociona', 'perspectiva', 'recibir', 'dosis', 'cansino', 'gobierno', 'senal', 'enterar', 'necesidad', 'evacuacion']",19.357102,-99.1919955
93,8.0,0.448,"pasar, reaccion, dosis, padre, super, dormir, noche, nino, mediodia, gracias","['gracias', 'informacion', 'hija', 'feliz', 'tocar', 'vacuna']",19.3668621,-99.067766
