,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
0,3.0,0.4107,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['ridiculo', 'adelantar', 'comprar', 'vacuna', 'papa', 'round', 'sombra']",19.3998346,-99.1843501
3,3.0,0.4986,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['seguir', 'adolorido', 'fiebre', 'quitar', 'pasar', 'esperar', 'dosis', 'cambiar', 'viktor', 'drum']",19.456367,-99.221136
9,3.0,0.775,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['tremendo', 'alivio', 'papas', 'vacuna', 'gracias', 'dios']",19.2970107,-99.2058092
10,3.0,0.4963,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['gracias', 'gusto', 'dosis']",19.2846922,-99.140238
37,3.0,0.3539,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['desayunar', 'tia', 'shefali', 'reirno', 'imitacion', 'aquaman', 'shefali', 'volver', 'abrir', 'tia', 'salir', 'recibir', 'vacuna', 'docente', 'economia', 'aguantar', 'plan', 'fuck', 'comi']",19.0763934,-99.7825792
44,3.0,0.3969,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['marido', 'salir', 'correr', 'escuchar', 'megafono', 'anunciar', 'vacuna', 'rabia', 'desparasitacion', 'vacuna']",19.087511,-99.315748
70,3.0,0.82,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['vacuna', 'papa', 'xd', 'chip', 'pase', 'senal', 'woe', 'xd']",19.4043522,-99.128294
79,3.0,0.7,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['ke', 'ke', 'vacuna', 'ke', 'seguir', 'cuidando']",19.375099,-98.940638
83,3.0,0.6999,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['mama', 'feliz', 'vacuna']",19.456367,-99.221136
115,3.0,0.6056,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['gracias', 'juan', 'pablo', 'traigo', 'dosis', 'astrazeneca', 'llorar', 'saludo', 'alumna', 'carino']",19.357102,-99.1919955
119,3.0,0.6999,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['miedo', 'vacuna', 'peste', 'malo', 'arsenal']",19.357102,-99.1919955
131,3.0,0.775,"dosis, salir, papas, covid, esperar, acabar, feliz, papa, caer, encontrar","['pensar', 'causaria', 'sintoma', 'salir']",19.3998346,-99.1843501
