,tweet,lon,lat
43,"['sorry', 'choche', 'gustar', 'pensar', 'historia', 'humanidad', 'representar', 'especie', 'camino', 'planeta', 'osea', 'moralidad', 'moderna', 'representar', 'experiencia', 'humano', 'aja']",-99.1919955,19.357102
44,"['scotiabank', 'robar', 'cansancio']",-99.1843501,19.3998346
45,"['amiguita', 'fila', 'vacuna']",-99.259495,19.3863707
46,"['puse', 'cubrebocas', 'calle', 'vacuna', 'senora', 'tapo', 'nariz', 'pasar']",-99.1843501,19.3998346
47,"['creer', 'vacuna', 'terapia', 'energia', 'puto', 'chiste']",-99.1843501,19.3998346
48,"['janssen', 'meta', 'gol', 'pregunta', 'cuestionar', 'francisco', 'gabriel', 'andar', 'picanteespn']",-99.1843501,19.3998346
49,"['tendencia', 'gente', 'creer', 'gobierno', 'vacuna', 'ojala', 'entiendan', 'colapso', 'venir', 'duro', 'chingar', 'gente']",-99.067766,19.3668621
50,"['jugar', 'mamon', 'discutir', 'vacuna', 'chicle', 'vacuna', 'jugar', 'jugar']",-99.1919955,19.357102
51,"['digno', 'destacar', 'rapidez', 'vacuna', 'alcaldia', 'minuto', 'esperar', 'minuto', 'reaccion']",-99.1600234,19.152878
52,"['frase', 'quedo', 'proyecto', 'vacuna']",-99.1843501,19.3998346
53,"['vengo', 'despertando', 'vacuna', 'potente', 'jajaja']",-99.1843501,19.3998346
54,"['moderna', 'bonito', 'toque', 'gringo', 'molestar', 'calor', 'gustar', 'visitar', 'esperar', 'regresar']",-99.137171,19.375769
55,"['pasar', 'semana', 'recio', 'discoteca', 'infecte', 'comi', 'gracias', 'astrazeneca', 'tom']",-99.1843501,19.3998346
56,"['porno', 'vivo', 'viagra', 'vacuna', 'covid', 'placer']",-99.140238,19.2846922
57,"['ay', 'antojan', 'apapacho', 'post', 'vacuna']",-99.180678,19.444937
58,"['alguien', 'tocar', 'vacuna', 'campo', 'marte', 'viernes', 'irno']",-99.1919955,19.357102
59,"['uyo', 'vacuna', 'jaja', 'cosa', 'gustar', 'cafe']",-99.2058092,19.2970107
60,"['hijole', 'senora', 'salir', 'lasmaroma', 'material', 'videografico', 'don', 'simulacion', 'vacuna', 'sorry', 'not', 'sorry']",-99.140238,19.2846922
61,"['sintoma', 'noche', 'sude', 'vida', 'desperte', 'sentir', 'cama', 'almohada', 'empapado', 'sentir', 'dosis']",-99.1919955,19.357102
62,"['duda', 'intervencion', 'prolongado', 'historia', 'moderna', 'intervencion', 'rico', 'conocimiento', 'experiencia', 'don', 'munoz', 'pedo', 'institucion', 'deber', 'aprender', 'puta', 'paris', 'valer', 'misa']",-98.975864,19.22413
63,"['moderna', 'destruir', 'sufrir', 'instante']",-99.259495,19.3863707
64,"['pensar', 'unico', 'bonito', 'frase', 'alguien']",-99.1919955,19.357102
65,"['unico', 'molestar', 'realmente', 'situacion', 'post', 'vacuna', 'ejercicio', 'inspiracion', 'diario', 'espejo', 'sentir', 'feliz']",-99.180678,19.444937
66,"['reducir', 'vacuna', 'hora', 'minuto', 'observacion', 'minuto']",-99.180678,19.444937
67,"['quitar', 'cansancio', 'logre', 'descansar']",-99.1919955,19.357102
68,"['tragedia', 'moderna', 'celular', 'resista', 'videoconferencia', 'quedar', 'bateria']",-99.1843501,19.3998346
69,"['nuevamente', 'reportar', 'luminario', 'prender', 'vinieron', 'revisar', 'prender', 'funcionar', 'funcionar', 'noche', 'altura', 'sucre', 'colonia', 'moderna']",-99.1919955,19.357102
70,"['agradecer', 'presidente', 'carlo', 'salino', 'cortar', 'pri', 'vacuna', 'bebe', 'gracias', 'esquema', 'vacuna', 'completar', 'ano', 'vida']",-99.180678,19.444937
71,"['moderna', 'reaccion', 'venir', 'cama', 'dolor brazo', 'inyectan', 'minuto', 'duro']",-99.1843501,19.3998346
72,"['suponer', 'cerrar', 'mediodia', 'vacuna', 'coyoacan', 'cerrar']",-99.11683073263325,19.31838927241306
73,"['cantar', 'cielito', 'lindo', 'cuarentena', 'sentir', 'super', 'decepcionado', 'comprar', 'vacuna']",-99.2058092,19.2970107
74,"['persona', 'distancia', 'apapacho', 'mueres', 'cansancio', 'mental']",-99.1919955,19.357102
75,"['necesitar', 'dosis', 'diario', 'cafe', 'mananero', 'ando', 'zombie', 'malhumorado', 'normalmente', 'tazo', 'hablar', 'traigan', 'cafe']",-99.2058092,19.2970107
76,"['chavizano', 'onda', 'formato', 'vacuna', 'detienen', 'fila', 'preocupar', 'investigar', 'youtube', 're', 'esencial', 'andar', 'tragando', 'moscas']",-99.1843501,19.3998346
77,"['suponer', 'reportar', 'experiencia', 'vacuna', 'moderna', 'aplicacion', 'dolor brazo', 'perduro', 'alivian', 'paracetamol', 'pasar', 'pd', 'robot']",-99.118665,19.484399
78,"['afan', 'unico', 'proveedor', 'crear', 'mercado', 'negro', 'vacuna']",-99.1919955,19.357102
79,"['precisamente', 'vacuna', 'unico', 'sentir', 'dolor brazo', 'izquierdo']",-99.15695509895556,19.421871442895988
80,"['hola', 'sputnik', 'agradecer', 'venir', 'alucinacion', 'bonito', 'sueno', 'brote', 'bebe']",-99.140238,19.2846922
81,"['pendejo', 'deber', 'hincar', 'subsecretario', 'traer', 'vacuna', 'pusiste', 'rata', 'pata', 'cancion']",-99.128294,19.4043522
82,"['moquillo', 'don', 'pendejo', 'efecto', 'colateral', 'salir', 'pelo', 'chayote', 'vi', 'vacuna', 'nomas', 'desparasitar', 'quedar']",-99.1919955,19.357102
83,"['maniatico', 'moderna', 'puse', 'gabacho', 'salir', 'estudio', 'combinacion', 'funcionar', 'chido']",-99.259495,19.3863707
84,"['escuchar', 'post', 'punk', 'ruso', 'vacuna']",-99.118665,19.484399
