Unnamed: 0,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,url,tweet,dia,mes,año,latitud,longitud,alcaldia,termino
185,8.0,0.3519,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['vacuna', 'hijo', 'miguel', 'hidalgo', 'alvaro', 'obligar']",https://twitter.com/Israel11831406/status/1420406943592632326,@Claudiashein No le quisieron poner la vacuna a mi hijo en la Miguel Hidalgo que por que el es de Álvaro Obregón,28,7,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
221,8.0,0.4655,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['comprobantes', 'domicilio', 'miguel', 'hidalgo', 'pfizer', 'avaro', 'oregon', 'sputnik', 'manana', 'tocar', 'vacuna', 'dilema']",https://twitter.com/jfespinola/status/1397326468007534597,"Tengo dos comprobantes de domicilio, uno en Miguel Hidalgo (Pfizer) o Alvaro Obregón (Sputnik). Mañana me toca vacuna. Mi dilema ¿A cuál voy?",25,5,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
237,8.0,0.4318,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['coraje', 'reportar', 'mama', 'cambiar', 'domicilio', 'fallecer', 'papa', 'recientemente', 'aplicaron', 'vacuna', 'avaro', 'oregon']",https://twitter.com/RexMarin/status/1376982006060449802,"@StratCons Qué coraje!!! 😡😡😡. Habrá como reportarlos?? A mi mamá que cambió de domicilio al fallecer mi papá recientemente, le aplicaron muy bien su vacuna en Alvaro Obregón.",30,3,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
273,8.0,0.4222,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['decepcion', 'vacuna', 'azcapotzalco', 'pandemia', 'vacuna', 'presente', 'zacatenco', 'ando', 'cheimbaum']",https://twitter.com/Enrique_Be/status/1442936974776549383,Una total decepción la vacunación en Azcapotzalco. Ni Pandemio ni Vacuna presentes en Zacatenco ¿Cuántos más ANLO? #FueraCheimbaum,28,9,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
317,8.0,0.4222,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['azcapotzalco', 'ahorita', 'peludito', 'fila', 'alcanzar', 'vacuna', 'vacuna']",https://twitter.com/HorteSuarez56/status/1437876469061931009,"Aquí en Azcapotzalco , de 19 a 29 aún no, pero en los de ahorita un peludito tomó a fila , a ver si alcanza vacuna 💕🐕#VacunaCOVID19 https://t.co/B8Wtt9a2Qn",14,9,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
377,8.0,0.4222,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['oigan', 'vacuna', 'azcapotzalco', 'venir', 'rodilla', 'pedo']",https://twitter.com/MissTeller77/status/1431103108143357952,"Oigan, la vacuna para Azcapotzalco viene de rodillas o qué pedooooo.",26,8,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
392,8.0,0.5657,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['espere', 'vacuna', 'llegar', 'azcapotzalco', 'creer', 'venir', 'rodilla']",https://twitter.com/lapopkoorn/status/1429837548336132097,Que bueno que no me esperé a que la vacuna llegara a Azcapotzalco… creo que viene de rodillas,23,8,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
440,8.0,0.5149,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['gracias', 'cielo', 'gay', 'tocar', 'vacuna', 'azcapotzalco', 'miguel', 'hidalgo', 'nombre', 'neta']",https://twitter.com/dora_gonlez/status/1420373797216079873,"Gracias al cielo que soy de la GAM, me hubiera tocado la vacuna en Azcapotzalco o en la Miguel Hidalgo y nammbre, la neta ni hubiera ido.",28,7,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
463,8.0,0.4222,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['aca', 'fila', 'vacuna', 'vuelta', 'arena', 'azcapotzalco']",https://twitter.com/Xinich2/status/1409909728881352709,Aca la larga fila para la vacuna que le da vuelta a la Arena Cdmx en Azcapotzalco. https://t.co/3ZF4BSKQ3r,29,6,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
485,8.0,0.5458,"xochimilco, venir, pfizer, miguel, hidalgo, fila, vivir, gente, tocar, alguien","['rayo', 'sol', 'minuto', 'fila', 'kilometro', 'arena', 'azcapotzalco', 'vacuna', 'aplicar', 'sacrificio', 'sol', 'valio', 'pena']",https://twitter.com/Martin_Takagui/status/1397257853417701380,Bajo el rayo del sol 40 minutos de fila de dos kilómetros. @GobCDMX en la Arena CDMX #Azcapotzalco la vacuna #COVID19 se aplicó. El sacrificio del sol valió la pena. @Claudiashein https://t.co/lGbOFaxLI4,25,5,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
