,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
2,9.0,0.55,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['vacuna', 'ching', 'ando']",19.3998346,-99.1843501
24,9.0,0.5706,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['dios', 'pinche', 'pete', 'pinche', 'vacuna', 'infeliz']",19.232228,-99.324375
46,9.0,0.55,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['seguro', 'vacuna', 'burro', 'acariciabo', 'pollo', 'canallo', 'tatin', 'ja', 'ja']",19.2846922,-99.140238
56,9.0,0.775,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['imbecil', 'hablador', 'formado', 'fila', 'dosis', 'vitacilina']",19.357102,-99.1919955
58,9.0,0.82,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['ando', 'broma', 'volvi', 'retomar', 'dosis', 'diario', 'prosti', 'olvidar', 'hare', 'serotonino', 'vamonos']",19.3998346,-99.1843501
61,9.0,0.4579,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['danny', 'historia', 'vacuna', 'ando', 'ahorita']",19.2846922,-99.140238
68,9.0,0.5079,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['uyo', 'hijo', 'duro', 'jaja', 'asegurar', 'pediatra', 'dentista', 'vacuna', 'escuela', 'ropa', 'panal', 'leche', 'clase', 'pintura', 'deporte', 'club', 'vacaciones']",19.3863707,-99.259495
73,9.0,0.775,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['harto', 'dosis', 'coffeand', 'metal', 'vivo', 'doble', 'carga']",19.3998346,-99.1843501
74,9.0,0.82,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['llegar', 'cafe', 'doble', 'cafe', 'adulterado', 'vacuna']",19.375769,-99.137171
84,9.0,0.678,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['creer', 'papa', 'volviendo', 'casa', 'dosis', 'vacuna', 'llegar', 'fumar']",19.285882,-98.954037
87,9.0,0.3721,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['cruda', 'desvelada', 'cansancio']",19.498594,-99.2481811
95,9.0,0.3866,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['demonio', 'pensar', 'vacuna', 'ala', 'persona', 'dosis', 'astrazeneca', 'penca', 'echar', 'calabaza', 'radio', 'formula', 'gente', 'pinche', 'viejito', 'cabron', 'sal', 'moda']",19.2970107,-99.2058092
99,9.0,0.8714,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['nino', 'volver', 'escuela', 'divinomuchos', 'estilo', 'vida', 'encerradosque', 'quedar', 'divino', 'procesoque', 'vacuna', 'volver', 'normalizar', 'socializar']",19.357102,-99.1919955
103,9.0,0.82,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['seguro', 'quedar', 'facil', 'descansabas', 'trabajaba', 'estudiabo', 'siguieras', 'tranquilo', 'ataco', 'vacuna']",19.357102,-99.1919955
104,9.0,0.775,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['oigan', 'mama', 'compruebe', 'vivir', 'vacuna']",19.412031,-99.413769
108,9.0,0.4863,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['guerradevecinos', 'llegar', 'julio', 'vecino', 'complicado', 'divertido', 'preparate', 'recibir', 'dosis', 'risa', 'serie', 'original', 'neelix', 'guerradevecinos', 'pierda']",19.375769,-99.137171
110,9.0,0.775,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['mierda', 'humano', 'quedar', 'formado', 'vacuna', 'oposicion', 'moralmente', 'derrotado']",19.2846922,-99.140238
121,9.0,0.5028,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['puro', 'mentira', 'vacuna', 'ahorita', 'bie', 'borracho', 'vacaciones']",19.0763934,-99.7825792
127,9.0,0.4078,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['diciembre', 'empezar', 'antidepresivo', 'mierda', 'piel', 'pelo', 'metabolismo', 'sueno', 'bajar', 'dosis', 'cambiar', 'psico', 'recuperar', 'salud', 'regreso', 'never', 'aga']",19.232228,-99.324375
128,9.0,0.4541,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['cicloviar', 'generar', 'caos', 'estacionan', 'vehiculo', 'doble', 'fila', 'trolebus', 'sufrir', 'rebasar', 'agrego', 'jornada', 'vacuna', 'tantito', 'feliz', 'lunes', 'azcapotzalco']",19.456367,-99.221136
148,9.0,0.4299,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['esperar', 'salgan', 'papas', 'vacuna']",19.087511,-99.315748
150,9.0,0.3368,"dosis, pinche, papas, registrar, sentir, fila, covid, mama, seguro, papa","['jajajaja', 'neta', 'palacio', 'nacional', 'microfono', 'mano', 'salir', 'pinche', 'pregunta', 'litero', 'cuestionar', 'vacuna', 'resto', 'feto', 'gobierno', 'inutil']",19.3998346,-99.1843501
