Unnamed: 0,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,url,tweet,dia,mes,año,latitud,longitud,alcaldia,termino
0,3.0,0.4647,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['cruz', 'rojo', 'institucion', 'cobrar', 'vacuna', 'covid', 'cobrar', 'prueba', 'pianista', 'miguel', 'hidalgo', 'benito', 'juez', 'avaro', 'oregon', 'acomplejado', 'sandra', 'cueva']",https://twitter.com/EdgarMendezE/status/1605968145033805830,"@rockyker La Cruz Roja y ninguna institucion cobran por la vacuna Covid19. 
Los que cobran por la prueba son los panistas de Miguel Hidalgo, Benito Juarez, Alvaro Obregon y la acomplejada Sandra Cuevas.",22,12,2022,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
3,3.0,0.5298,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['empezar', 'intersemestral', 'avaro', 'oregon', 'mandar', 'hijo', 'dosis', 'vacuna']",https://twitter.com/helloere/status/1481231488888844288,"@edgarescolares @IemsComunidad @IEMS_CDMX @Claudiashein @SSalud_mx @SSaludCdMx Y empiezan los intersemestrales hoy en Alvaro Obregon 3 🙄 aún no se si mandar a mi hijo, solo tiene 1 dosis de la vacuna",12,1,2022,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
4,3.0,0.5398,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['vacuna', 'cu', 'alcaldia', 'alvaro', 'oregon', 'campo', 'marte', 'poblacion', 'cuauhtemoc']",https://twitter.com/EduardoClark/status/1473724213630484484,@luis_esteba @GobCDMX Si hay vacuna en CU. Para alcaldía Álvaro Obregón. En campo Marte es población de Cuauhtemoc,22,12,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
6,3.0,0.694,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['tocar', 'covid', 'tocar', 'vacuna', 'ano', 'alvaro', 'obligar']",https://twitter.com/andres_barron/status/1447589069748379649,"@GobCDMX Qué día me tocaría a mí ya que tenía covid cuando me tocaba mi vacuna, tengo 26 años y soy de Álvaro Obregón",11,10,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
7,3.0,0.6527,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['aplicacion', 'vacuna', 'persona', 'ano', 'delegacion', 'avaro', 'oregon', 'pandemia', 'vaca', 'musica', 'prometieron', 'wilke', 'dreams', 'taylor', 'version', 'bus', 'pesimo', 'servicio']",https://twitter.com/im_the_antihero/status/1444155401117777922,"en la aplicación de la Vacuna contra la #COVID19 para las personas de 18-29 años en la delegación Alvaro Obregón no estuvo el Pandemio, ni la Vaca, no hubo música y a mi me prometieron wildest dreams Taylor’s version y a los BTS… pésimo servicio 😤",1,10,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
8,3.0,0.7037,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['vacuna', 'partida', 'triple', 'alvaro', 'oregon']",https://twitter.com/Georginaubaldo1/status/1443639362432946177,"Vacuna por partida triple!!! Álvaro Obregón, CDMX. https://t.co/9c6KrpomVR",30,9,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
11,3.0,0.4319,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['vacuna', 'alvaro', 'oregon', 'sentimiento', 'esperar', 'ano', 'pelicula', 'estrene', 'soleado', 'memoria', 'sintoma']",https://twitter.com/_cosme/status/1441802320929460230,"No se a ustedes pero la vacuna para los de 18 a 29 en Álvaro Obregón me da el mismo sentimiento que esperar 4 años a qué una película se estrene en el 5, para verla toda spoileada, ya hasta se saben de memoria los síntomas que van a tener...!! 😂🤣",25,9,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
12,3.0,0.7778,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['llegar', 'vacuna', 'alvaro', 'oregon']",https://twitter.com/Zaimon_Omar/status/1441550914704355328,Por fin llegó la vacuna Álvaro Obregón para los de 18 a 29!! 😭🥺🥺🥺💯👌,24,9,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
13,3.0,0.5502,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['alvaro', 'oregon', 'alcaldia', 'olvidado', 'vacuna']",https://twitter.com/Flor_es_Sarai/status/1441530050872942593,"Por fin, Álvaro Obregón ya no es alcaldía olvidada sin vacuna. https://t.co/GX4s9yrkhR",24,9,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
15,3.0,0.7777,"esperar, juez, benito, seguir, oregon, dosis, alvaro, adulto, llegar, alcaldia","['vacuna', 'ano', 'alvaro', 'obligar']",https://twitter.com/fabygfteen/status/1441510439230263304,@GobCDMX Para cuando va a ser la vacuna de 18 a 29 años en Álvaro Obregón,24,9,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
