,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
274,7.0,0.6566,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['sabado', 'dosis', 'papa', 'acabar', 'registrar', 'mama', 'dosis', 'inmenso', 'alegria', 'cambiar']",19.2970107,-99.2058092
282,7.0,0.7024,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['siervo', 'nacion', 'cambiar', 'color', 'chaleco', 'proceso', 'rapido', 'simple', 'empujaron', 'embolo', 'ensenar', 'jeringa', 'botellita', 'tapa', 'azul', 'sentir', 'vacuna']",19.484399,-99.118665
285,7.0,0.82,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['alterado', 'perseguir', 'vacuna', 'huachicoleo', 'estreso', 'fila', 'esperar', 'corro', 'grito', 'empujo', 'tocar', 'jaja', 'relajenseunchingo']",19.2970107,-99.2058092
287,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['papa', 'mama', 'vacuna', 'dosis']",19.3998346,-99.1843501
299,7.0,0.4625,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['opino', 'valer', 'hablar', 'hablar', 'esperar', 'autoridad', 'cientifico', 'palabra', 'gente', 'vacuna', 'sputnik', 'cuchillito', 'palo', 'suegra']",19.2970107,-99.2058092
302,7.0,0.5613,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ayo', 'vacuna', 'az', 'causa', 'trombo', 'fumas', 'cajetilla', 'cigarros', 'causa', 'trombo', 'protegerte', 'covid', 'ay', 'sentir', 'seguro', 'kahiryentonces', 'dame', 'vacuna', 'tocar', 'proteger']",19.087511,-99.315748
308,7.0,0.3365,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['finalidad', 'mantener', 'gente', 'entretenida', 'hechando', 'peste', 'ganar', 'llegar', 'vacuna', 'evitar', 'fijemos', 'subir', 'luz', 'gas', 'caseta', 'gasolina', 'contrareforma', 'energetico']",19.444937,-99.180678
338,7.0,0.2717,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['pensamiento', 'magico', 'citadino', 'temblor', 'puta', 'tormenta', 'vacuna', 'noche', 'mierda', 'desperte', 'madrugada', 'sone', 'carson', 'michi', 'perder', 'regresar', 'lastimado', 'chingado', 'septiembre']",19.2970107,-99.2058092
348,7.0,0.6316,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ches', 'gringo', 'meten', 'sentir', 'papas', 'mundo', 'chingan', 'ano', 'mantener', 'unido', 'mandar', 'poderio', 'gente', 'morir', 'hambre', 'acceso', 'vacuna', 'valer', 'madre', 'cerrar', 'frontera']",19.375769,-99.137171
375,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['manana', 'vacuna', 'papa', 'alegrar', 'jaja']",19.087511,-99.315748
402,7.0,0.85,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['amigo', 'amaneci', 'motivado', 'ano', 'mexicano', 'vacuna', 'feliz', 'sabado']",19.444937,-99.180678
403,7.0,0.55,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['postguardia', 'vacuna', 'sentir', 'destruido']",19.232228,-99.324375
410,7.0,0.6817,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['bajar', 'numero', 'infectado', 'posterior', 'defunciones', 'luz', 'camino', 'sentir', 'gente', 'confiada', 'vacuna', 'retan', 'suerte', 'pandemonium']",19.0763934,-99.7825792
422,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['sentir', 'vacuna', 'mama', 'pay', 'limon']",19.484399,-99.118665
423,7.0,0.5329,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['cereza', 'arroz', 'leche', 'didifood', 'papi', 'pick', 'up', 'pedir', 'whatsapp', 'visa', 'mastercard', 'valer', 'domingo', 'martes', 'jueves', 'mediodia', 'miercoles', 'descansamo', 'viernes', 'sabado', 'mediodia', 'copa', 'pfizer']",19.3145453854687,-99.12131309509276
426,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['valer', 'pena', 'vacuna', 'jajajajajajaja']",19.357102,-99.1919955
436,7.0,0.4646,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['identificaste', 'oir', 'medico', 'vacuna', 'opino', 'berrinche', 'salvar', 'macedonio', 'incumplir', 'ley', 'lanzar', 'ine', 'mamaban', 'verga']",19.2156239,-99.6470277
437,7.0,0.6393,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['aplicaron', 'dosis', 'vacuna', 'experiencia', 'contratiempo', 'modos', 'seguir', 'cuidando', 'cuidar']",19.087511,-99.315748
447,7.0,0.8199,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['manana', 'vacuna', 'cagando', 'ansia', 'morir', 'miedo', 'sentir', 'malita']",19.2970107,-99.2058092
459,7.0,0.5911,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['leer', 'adultez', 'quitar', 'parfavaar', 'vacuna', 'volver', 'bebita', 'luz']",19.3998346,-99.1843501
494,7.0,0.85,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['madre', 'vacuna', 'vacuna', 'vacuna', 'familia', 'razon', 'vacuna', 'sobrar', 'puto', 'mundo', 'persona', 'vacuna']",19.2846922,-99.140238
528,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['dosis', 'risa', 'buenisimo']",19.3998346,-99.1843501
559,7.0,0.4575,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['sentir', 'cansancio']",19.456367,-99.221136
581,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['wow', 'ritmo', 'armemos', 'dosis', 'baile', 'risa']",19.3998346,-99.1843501
589,7.0,0.5712,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['sentir', 'vacuna', 'pedo', 'pago', 'sentir', 'covid', 'vacuna', 'amigo']",19.2970107,-99.2058092
591,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['valer', 'madre', 'vacuna', 'vacuna']",19.2970107,-99.2058092
644,7.0,0.59,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['papa', 'deber', 'beber', 'ano', 'dosis', 'vacuna', 'andar', 'raro', 'jajaja']",19.412031,-99.413769
662,7.0,0.4247,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['chica', 'urge', 'vacuna', 'sentir', 'semana', 'critica', 'equipo']",19.3998346,-99.1843501
666,7.0,0.4306,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['efecto', 'vacuna', 'jaja']",19.3863707,-99.259495
669,7.0,0.3945,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['super', 'cero', 'reaccion', 'vacuna', 'covid', 'influenza', 'manana', 'sentir', 'fiebre']",19.3998346,-99.1843501
692,7.0,0.4308,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ash', 'cansancio', 'excesivo', 'normal']",19.444937,-99.180678
694,7.0,0.5042,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['dormir', 'rato', 'sentir', 'raro', 'cansancio']",19.357102,-99.1919955
705,7.0,0.5111,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['vacuna', 'parado', 'zona', 'frontera', 'vacuna', 'piper', 'joven', 'ano']",19.357102,-99.1919955
738,7.0,0.8199,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['andropausia', 'menopausia', 'adelantado', 'triton', 'reflejar', 'andar', 'mamando', 'vacuna', 'sintoma', 'valer', 'verga']",19.3998346,-99.1843501
